Sentence ID	String	Author	URL	Agency	Date	Web Date
702876	Amrozi accused his brother, whom he called "the witness", of deliberately distorting his evidence.	Darren Goodsir	www.theage.com.au	*	June 5 2003	2003/06/04
702977	Referring to him as only "the witness", Amrozi accused his brother of deliberately distorting his evidence.	Darren Goodsir	www.smh.com.au	Sydney Morning Herald	June 5 2003	2003/06/04
2108705	Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.	MICHAEL GIBBS	www.nwherald.com	*	*	2003/08/23
2108831	Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.	ALEX VEIGA	www.miami.com	*	*	2003/08/23
1330381	They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.	Philip Pangalos	www.alertnet.org	*	*	2003/06/25
1330521	On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.	Brian Williams	asia.reuters.com	Reuters	*	2003/06/25
3344667	Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.	Helen Ubels	sg.biz.yahoo.com	*	*	2003/12/21
3344648	Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.	Helen Ubels	sg.biz.yahoo.com	*	*	2003/12/21
1236820	The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.	Leonard Anderson	boston.com	Reuters	*	2003/06/23
1236712	PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.	Nigel Hunt	reuters.com	Reuters	*	2003/06/23
738533	Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.	ERIN McCLAM	www.zwire.com	*	*	2003/06/05
737951	With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.	ERIN McCLAM	www.southbendtribune.com	*	June 5, 2003	2003/06/05
264589	The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.	Amy Baldwin	www.indystar.com	*	May 12, 2003	2003/05/13
264502	The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.	Haitham Haddadin	reuters.com	Reuters	*	2003/05/13
579975	The DVD-CCA then appealed to the state Supreme Court.	Kevin Poulsen	www.securityfocus.com	*	May 28, 2003	2003/05/29
579810	The DVD CCA appealed that decision to the U.S. Supreme Court.	Paul Roberts	www.infoworld.com	*	*	2003/05/29
3114205	That compared with $35.18 million, or 24 cents per share, in the year-ago period.	ANNE D'INNOCENZIO	seattlepi.nwsource.com	*	*	2003/11/13
3114194	Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.	TSC Staff	www.thestreet.com	*	*	2003/11/13
1355540	He said the foodservice pie business doesn't fit the company's long-term growth strategy.	KARREN MILLS	www.kansascity.com	*	*	2003/06/26
1355592	"The foodservice pie business does not fit our long-term growth strategy.	TERRY WEBER	www.globeandmail.com	*	*	2003/06/26
222621	Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.	Jed Seltzer	reuters.com	Reuters	*	2003/05/12
222514	Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.	Jed Seltzer	reuters.com	Reuters	*	2003/05/12
3131772	Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.	Marcy Gordon	seattletimes.nwsource.com	*	*	2003/11/15
3131625	Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.	Marcy Gordon	www.indystar.com	*	November 15, 2003	2003/11/15
58747	The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.	HOPE YEN	www.statesman.com	*	*	2003/05/06
58516	The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.	Roland Jones	www.msnbc.com	*	*	2003/05/06
1464126	But he added group performance would improve in the second half of the year and beyond.	Marcel Michelson	reuters.com	Reuters	*	2003/07/02
1464107	De Sole said in the results statement that group performance would improve in the second half of the year and beyond.	Marcel Michelson	reuters.com	Reuters	*	2003/07/02
771416	He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.	Hasan Suroor	www.hinduonnet.com	*	*	2003/06/05
771467	"Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools," he told The Sun.	Al Webb	www.upi.com	*	*	2003/06/05
142746	Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.	Krisztina Than	asia.reuters.com	Reuters	*	2003/05/08
142671	The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.	Krisztina Than	asia.reuters.com	Reuters	*	2003/05/08
1286053	Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.	Peter Galli	www.eweek.com	*	June 23, 2003	2003/06/24
1286069	Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.	David Becker	news.com.com	*	*	2003/06/24
1563874	As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.	Craig Skehan	www.smh.com.au	Sydney Morning Herald	July 7 2003	2003/07/08
1563853	Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.	Craig Skehan	www.theage.com.au	*	July 7 2003	2003/07/08
2029631	Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war.	KATE McCANN	www.pe.com	*	*	2003/08/13
2029565	His wife said he was "100 percent behind George Bush" and looked forward to using his years of training in the war.	KATE McCANN	www.projo.com	*	*	2003/08/13
2150265	Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more "fair and equitable" service for infertility sufferers.	Athalie Matthews Daily Post Correspondent	icliverpool.icnetwork.co.uk	Post	*	2003/08/26
2150184	Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more "fair and equitable" service for infertility sufferers.	Celia Hall	www.telegraph.co.uk	*	*	2003/08/26
2044342	"I think you'll see a lot of job growth in the next two years," he said, adding the growth could replace jobs lost.	Christina Ling	asia.reuters.com	Reuters	*	2003/08/14
2044457	"I think you'll see a lot of job growth in the next two years," said Mankiw.	Jimmy Moore	www.gopusa.com	*	August 14, 2003	2003/08/14
1284150	The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.	JACK KAPICA	www.globetechnology.com	*	*	2003/06/24
1284173	Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location.	Robert Jaques	www.vnunet.com	*	*	2003/06/24
3270389	But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.	MARTIN MERZER	www.miami.com	*	*	2003/12/04
3270327	Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands.	Eliot Kleinberg	www.palmbeachpost.com	*	December 5, 2003	2003/12/04
2294059	A federal magistrate in Fort Lauderdale ordered him held without bail.	Patricia Hurtado	www.nynewsday.com	*	Sep 3, 2003	2003/09/04
2294112	Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.	ERIN MCCLAM	seattlepi.nwsource.com	*	*	2003/09/04
1713015	A BMI of 25 or above is considered overweight; 30 or above is considered obese.	Rob Stein	www.washingtonpost.com	Washington Post	*	2003/07/17
1712982	A BMI between 18.5 and 24.9 is considered normal, over 25 is considered overweight and 30 or greater is defined as obese.	Amanda Gardner	story.news.yahoo.com	*	*	2003/07/17
487993	The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.	John Parry	reuters.com	Reuters	*	2003/05/27
487952	The dollar was at 116.78 yen JPY= , virtually flat on the session, and at 1.2871 against the Swiss franc CHF= , down 0.1 percent.	John Parry	reuters.com	Reuters	*	2003/05/27
1321918	Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.	Alistair Scrutton	reuters.com	Reuters	*	2003/06/25
1321644	But six months ago, the two sides managed to strike a $6.8-billion debt rollover deal, which expires in August.	Hugh Bronstein	reuters.com	Reuters	*	2003/06/25
1239046	Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.	American Association	www.scienceblog.com	*	*	2003/06/23
1239031	Simply put, shy invividuals tend to be more timid with new people and situations.	Colin Allen	www.psychologytoday.com	*	*	2003/06/23
2907515	I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse.	MADISON J. GRAY	www.citizenonline.net	*	*	2003/10/27
2907224	"I wanted to bring the most beautiful people into the most beautiful building," Tunick said Sunday.	MADISON J. GRAY	www.newsday.com	*	Oct 26, 2003	2003/10/27
2791650	The broad Standard & Poor's 500 <.SPX> fell 10.75 points, or 1.02 percent, to 1,039.32.	Kenneth Barry	www.forbes.com	*	*	2003/10/18
2791604	The S&P 500 index was up 1.26, or 0.1 percent, to 1,039.32 after sinking 10.75 yesterday.	Hope Yen	seattletimes.nwsource.com	*	*	2003/10/18
2559762	Duque will return to Earth Oct. 27 with the station's current crew, U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.	Todd Halvorson	www.floridatoday.com	*	Sep 30, 2003	2003/09/30
2559517	Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.	CNN Space Producer David Santucci and Journalist Philip Chien	edition.cnn.com	*	*	2003/09/30
105493	Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.	Doug Palmer	reuters.com	Reuters	*	2003/05/07
105432	Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year.	ELIZABETH BECKER	www.nytimes.com	New York Times	May 7, 2003	2003/05/07
1989515	The AFL-CIO is waiting until October to decide if it will endorse a candidate.	MEG HECKMAN	www.cmonitor.com	*	August 10, 2003	2003/08/11
1989458	The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.	STEVEN THOMMA	www.bayarea.com	*	*	2003/08/11
1783137	No dates have been set for the civil or the criminal trial.	THEO EMERY	www.cmonitor.com	*	July 22, 2003	2003/07/22
1782659	No dates have been set for the criminal or civil cases, but Shanley has pleaded not guilty.	Elizabeth Mehren	www.theage.com.au	*	July 23 2003	2003/07/22
14663	The largest gains were seen in prices, new orders, inventories and exports.	Ottawa Business Journal Staff	www.ottawabusinessjournal.com	*	*	2003/05/05
14617	Sub-indexes measuring prices, new orders, inventories and exports increased.	TERRY WEBER	www.globeandmail.com	*	*	2003/05/05
1692902	Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.	BARNABY J. FEDER	www.nytimes.com	New York Times	July 16, 2003	2003/07/16
1692851	The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.	James Bernstein	www.newsday.com	*	July 16, 2003	2003/07/16
1480561	Earnings per share from recurring operations will be 13 cents to 14 cents.	Stacy Cowley	www.computerworld.com	*	JULY 02, 2003	2003/07/03
1480670	That beat the company's April earnings forecast of 8 to 9 cents a share.	Alan Zibel	www.oaklandtribune.com	*	*	2003/07/03
3089434	He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.	STEPHANIE GASKELL	www.nypost.com	*	*	2003/11/10
3089441	After that, he plans to have dinner at Camp Bondsteel with U.S. troops stationed there.	Glenn Thrush	www.nynewsday.com	*	November 10, 2003	2003/11/10
2538111	Retailers J.C. Penney Co. Inc. (JCP) and Walgreen Co. (WAG) kick things off on Monday.	Cal Mankowski	foxnews.com	*	*	2003/09/28
2538021	Retailers J.C. Penney Co. Inc. JCP.N and Walgreen Co. WAG.N kick things off on Monday.	Cal Mankowski	reuters.com	Reuters	*	2003/09/28
1341941	Prosecutors filed a motion informing Lee they intend to seek the death penalty.	Advocate and WBRZ	2theadvocate.com	*	*	2003/06/25
1341915	He added that prosecutors will seek the death penalty.	MELINDA DESLATTE	www.kansascity.com	*	*	2003/06/25
374967	Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.	STEPHEN HEGARTY	www.sptimes.com	*	*	2003/05/20
375017	Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools.	Robert Marshall Wells and Janet I. Tu	seattletimes.nwsource.com	*	*	2003/05/20
2321401	He beat testicular cancer that had spread to his lungs and brain.	Annette Espinoza	www.denverpost.com	*	*	2003/09/06
2321455	Armstrong, 31, battled testicular cancer that spread to his brain.	Jeannie Piper	www.denverpost.com	*	*	2003/09/06
1356545	Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.	PETER JACKSON	www.miami.com	*	*	2003/06/26
1356676	Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.	PETER JACKSON	www.statesman.com	*	*	2003/06/26
2198036	Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.	RACHEL GRAVES	www.chron.com	*	*	2003/08/28
2198094	Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.	PETE SLOVER and GROMER JEFFERS Jr	www.dallasnews.com	*	*	2003/08/28
921159	The US chip market is expected to decline 2.1 percent this year, then grow 15.7 percent in 2004.	Chris Gaither	*	*	*	2003/06/12
921272	The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004.	Mark LaPedus	*	*	*	2003/06/12
740726	The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.	KARIN LAUB	www.tri-cityherald.com	*	*	2003/06/05
739960	The group will be headed by John S. Wolf, an assistant secretary of state who has served in Australia, Vietnam, Greece and Pakistan.	KARIN LAUB	www.phillyburbs.com	*	*	2003/06/05
284798	The commission must work out the plan's details, but the average residential customer paying $840 a year would get a savings of about $30 annually.	Bill Ainsworth	www.signonsandiego.com	*	May 14, 2003	2003/05/14
284937	An average residential customer paying $840 a year for electricity could see a savings of $30 annually.	Staff and Wire Services	www.dailynews.com	*	May 14, 2003	2003/05/14
1041293	The company has said it plans to restate its earnings for 2000 through 2002.	Aleksandrs Rozens	reuters.com	Reuters	*	2003/06/17
1041421	The company had announced in January that it would have to restate earnings for 2002, 2001 and perhaps 2000.	ELIZABETH OLSON	www.abs-cbnnews.com	*	*	2003/06/17
2630545	Results from No. 2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight.	Elizabeth Lazarowitz	asia.reuters.com	Reuters	*	2003/10/07
2630577	Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.	Elizabeth Lazarowitz	www.forbes.com	*	*	2003/10/07
1014977	"The result is an overall package that will provide significant economic growth for our employees over the next four years."	DAVE COLLINS	*	*	*	2003/06/16
1014962	"The result is an overall package that will provide a significant economic growth for our employees over the next few years," he said.	Arindam Nag	*	Reuters	*	2003/06/16
3039165	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.	Chuck Bartels	www.denverpost.com	*	*	2003/11/05
3039036	It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status.	CHUCK BARTELS	nashuatelegraph.com	The Associated Press	November 05, 2003	2003/11/05
2674986	The songs are on offer for 99 cents each, or $9.99 for an album.	Charles Arthur Technology Editor	news.independent.co.uk	Technology	*	2003/10/10
2674800	The company will offer songs for 99 cents and albums for $9.95.	Mike Freeman	www.signonsandiego.com	*	October 10, 2003	2003/10/10
2193346	However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.	SCOTT MURDOCH	www.theadvertiser.news.com.au	*	*	2003/08/28
2193362	The talk, however,has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive.	SCOTT MURDOCH	dailytelegraph.news.com.au	*	August 29, 2003	2003/08/28
149798	Comcast Class A shares were up 8 cents at $30.50 in morning trading on the Nasdaq Stock Market.	MARYCLAIRE DALE	www.newsday.com	*	*	2003/05/08
149596	The stock rose 48 cents to $30 yesterday in Nasdaq Stock Market trading.	Holly M. Sanders	quote.bloomberg.com	*	*	2003/05/08
1490811	While dioxin levels in the environment were up last year, they have dropped by 75 percent since the 1970s, said Caswell.	Ray Hafner	*	*	*	2003/07/03
